Asset ID,Parent Name,Parent LEI,Parent Reg Number,Parent Reg Jurisdiction,Subsidiary Name,Subsidiary LEI,Subsidiary Reg Number,Subsidiary Reg Jurisdiction,Subsidiary Industry,Asset Name,Premise Type,Asset Criticality,Address,Country,Country Code,Latitude,Longitude,Probability
1_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Technopark Mülheim GmbH & Co. KG,INDUSTRIAL,,"Mellinghofer Str. 55, 45473 Mülheim an der Ruhr, Germany",Germany,,51.4418385,6.8808479,medium
2_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Austria,HIGH_ST,,"Siemensstraße 90, 1210 Wien, Austria",Austria,,48.2685132,16.4237471,high
3_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy AG,HIGH_ST,,"Freilagerstrasse 40, 8047 Zürich, Switzerland",Switzerland,,47.3796272,8.4916257,high
4_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Am Stahl 2, 91301 Forchheim, Germany",Germany,,49.7137555,11.0723667,high
5_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Otto-Hahn-Ring 6/building 29, 81739 München, Germany",Germany,,48.0911286,11.6527081,high
6_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Hegelstraße 20, 73230 Kirchheim unter Teck, Germany",Germany,,48.6508331,9.4291162,high
7_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Sickingenstraße 69, 10553 Berlin, Germany",Germany,,52.5317549,13.3232621,high
8_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Huttenstraße 12, 10553 Berlin, Germany",Germany,,52.5280681,13.3240915,high
9_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy AG,MULTI_RES,,"Einhornstraße 21, 72138 Kirchentellinsfurt, Germany",Germany,,48.5315681,9.1396056,high
10_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Siemensallee 84, 76187 Karlsruhe, Germany",Germany,,49.0279088,8.3510361,high
11_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Inc,INDUSTRIAL,,"1901 N Roselle Rd, Schaumburg, IL 60195, USA",United States,,42.0619262,-88.0783397,high
12_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Wolfgang Reuter Platz 2, 47053 Duisburg, Germany",Germany,,51.4269218,6.749901,high
13_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG - Nonnendamm,INDUSTRIAL,,"Nonnendamm 43-57, 13627 Berlin, Germany",Germany,,52.5316579,13.2793311,medium
14_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Siemenspromenade 9, 91058 Erlangen, Germany",Germany,,49.5768621,11.0050201,high
15_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Rheinstraße 100, 45478 Mülheim an der Ruhr, Germany",Germany,,51.4380206,6.8487204,high
16_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Werner-von-Siemens-Straße 1, 99086 Erfurt, Germany",Germany,,51.0073531,11.0276381,high
17_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,HIGH_ST,,"Hahnstraße 43e, 60528 Frankfurt am Main, Germany",Germany,,50.0814121,8.6361022,high
18_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy,INDUSTRIAL,,"Frankenstraße 70-80, 90461 Nürnberg, Germany",Germany,,49.4300639,11.0717279,high
19_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,HIGH_ST,,"Overbeckstraße 44, 01139 Dresden, Germany",Germany,,51.0749416,13.6894697,high
20_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Sp. z o.o,HIGH_ST,,"Wólcza_ska 143, 90-525 _ód_, Poland",Poland,,51.7575425,19.4542314,high
21_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Sp. z o.o.,HEALTHCARE,,"Wólcza_ska 195, 90-531 _ód_, Poland",Poland,,51.7515372,19.4554995,high
22_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Schaltwerk Hochspannung & TECC - Technical Education & Competency Center (Switchgear Factory),INDUSTRIAL,,"Paulsternstraße 26, 13629 Berlin, Germany",Germany,,52.5415015,13.2481148,medium
23_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,SIEMENS ENERGY AUSTRIA GmbH Baulager,INDUSTRIAL,,"Lobgrundstraße, 1220 Wien, Austria",Austria,,48.1753181,16.507534,medium
24_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Global GmbH & Co. KG,INDUSTRIAL,,"Lutherstraße 51, 02826 Görlitz, Germany",Germany,,51.1467461,14.9708557,high
25_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Sp. z o.o.,SINGLE_RES,,"Armii Krajowej 13/307, 59-900 Zgorzelec, Poland",Poland,,51.1500495,15.0111569,high
26_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,"Siemens Energy, s.r.o.",OFFICE,,"Siemensova 4, 155 00 Praha 13, Czechia",Czechia,,50.0473086,14.3061504,high
27_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy Industrial Turbomachinery Ltd.,INDUSTRIAL,,"Teal Park Rd, North Hykeham, Lincoln LN6 3AD, UK",United Kingdom,,53.1964187,-0.6147615,medium
28_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy B.V.,INDUSTRIAL,,"Stadhouderslaan 900, 2382 BL Zoeterwoude, Netherlands",Netherlands,,52.141017,4.512013,high
29_SIEMENS-ENERGY-AG,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Siemens Energy AG,5299005CHJZ14D4FDJ62,HRB 252581,DE,Utilities,Siemens Energy B.V. (Hoogspanning),INDUSTRIAL,,"Siliciumweg 99, 3812 SW Amersfoort, Netherlands",Netherlands,,52.1640033,5.3486921,high
