,asset_id,lat,lon,Parent Name,asset_type,country,work_intensity,year,median,minimum,maximum,scenario,AC_penetration
0,1_SIEMENS-ENERGY-AG,51.4418385,6.8808479,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
1,4_SIEMENS-ENERGY-AG,49.7137555,11.0723667,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.10999999940395355
2,5_SIEMENS-ENERGY-AG,48.0911286,11.6527081,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.11999999731779099
3,6_SIEMENS-ENERGY-AG,48.6508331,9.4291162,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.1599999964237213
4,7_SIEMENS-ENERGY-AG,52.5317549,13.3232621,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
5,8_SIEMENS-ENERGY-AG,52.5280681,13.3240915,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
6,10_SIEMENS-ENERGY-AG,49.0279088,8.3510361,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.03,0.02,0.05,ssp585,0.23999999463558197
7,11_SIEMENS-ENERGY-AG,42.0619262,-88.0783397,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.07,0.03,0.13,ssp585,0.7799999713897705
8,12_SIEMENS-ENERGY-AG,51.4269218,6.749901,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
9,13_SIEMENS-ENERGY-AG,52.5316579,13.2793311,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
10,14_SIEMENS-ENERGY-AG,49.5768621,11.0050201,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.10999999940395355
11,15_SIEMENS-ENERGY-AG,51.4380206,6.8487204,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
12,16_SIEMENS-ENERGY-AG,51.0073531,11.0276381,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.02,ssp585,0.15000000596046448
13,18_SIEMENS-ENERGY-AG,49.4300639,11.0717279,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
