asset_type,intensity
SINGLE_RES,low
MULTI_RES,low
DATA_CENTER,low
EDUCATION,low
HEALTHCARE,low
HIGH_ST,low
HOTEL,low
OFFICE,low
PUBLIC,low
RELIGION,low
RESTAURANT,moderate
SHOPPING,moderate
RECREATIONAL,moderate
PARKING,moderate
OTHER,low
MIXED_USE,moderate
TRANSPORT,moderate
AIRPORT,moderate
SHIPPING_PORT,moderate
TRAIN_STATION,moderate
WATER_UTILITY,moderate
AGRICULTURE,high
INDUSTRIAL,high
WAREHOUSE,high
ALUMINIUM_PRODUCTION_PLANT,high
BAUXITE_MINE,high
CEMENT_PRODUCTION_PLANT,high
CHEMICALS_PRODUCTION_PLANT,high
COPPER_MINE,high
IRON_MINE,high
MANUFACTURING,high
PULP_PAPER_PRODUCTION_PLANT,high
SEWAGE_TREATMENT_PLANT,high
STEEL_PRODUCTION_PLANT,high
WASTE_INCINERATION_PLANT,high
ENERGY,high
BATTERY_STORAGE_PLANT,high
BIOENERGY_POWER_PLANT,high
COAL_MINE,high
COAL_POWER_PLANT,high
COAL_TERMINAL,high
GAS_POWER_PLANT,high
GAS_UTILITY,high
GEOTHERMAL_POWER_PLANT,high
HYDROPOWER,high
LIQUID_NATURAL_GAS,high
NUCLEAR_POWER_PLANT,high
OIL_GAS_EXTRACTION,high
OIL_GAS_POWER_PLANT,high
OIL_GAS_REFINERY,high
OIL_UTILITY,high
ONSHORE_WIND,high
POWER_UTILITY,high
SOLAR,high
SUBSTATION,high
